PANTUN,PENGARANG,HIMPUNAN,TEMA,JENIS,RIMA_TENGAH_1,RIMA_TENGAH_2,RIMA_TENGAH_3,RIMA_TENGAH_4,RIMA_AKHIR_1,RIMA_AKHIR_2,RIMA_AKHIR_3,RIMA_AKHIR_4,MARKAH,PERKATAAN
"Berlipat-lipat tinggi ke bujur, panjang seela corak selasih; Belum terlambat memilih jujur  bina semula ikatan kasih.",CG Karmin Abbas,Himpunan Pantun CG Karmin Abbas,Jujur,Nasihat,pat,la,bat,la,jur,sih,jur,sih,25.0,"Belum, tinggi, bujur,, kasih., panjang, selasih;, ikatan, seela, semula, corak, terlambat, Berlipat-lipat, memilih, bina, ke, jujur"
"Bersikat rambut depan cermin, rambut dibasuh waktu subuh; Mempelai disambut atas pelamin, jauhkan disusuh panjangkan jodoh.",Haji Sulaiman Ahmad,Himpunan Pantun Haji Sulaiman Ahmad,Jodoh,Ucapan,but,suh,but,suh,min,buh,min,doh,24.0,"rambut, subuh;, Bersikat, panjangkan, depan, jauhkan, disambut, pelamin,, disusuh, cermin,, Mempelai, jodoh., atas, dibasuh, waktu"
"Sekilo udang di potong-potong, belacan dipalu tercampak-campak; Jikalau sedang memakan lontong, mertua lalu langsung tak nampak.",Warga Emas Pertapis,Himpunan Pantun Warga Emas Pertapis,Mertua,Gurauan,dang,lu,dang,lu,tong,pak,tong,pak,25.0,"sedang, lalu, belacan, dipalu, memakan, nampak., tercampak-campak;, tak, mertua, potong-potong,, Sekilo, langsung, Jikalau, di, udang, lontong,"
"Nenek menganyam tudung saji, cucu pula sibuk menyidai; Kalau kita rajin mengkaji, besar nanti menjadi pandai.",Warga Emas Pertapis,Himpunan Pantun Warga Emas Pertapis,Tudung saji,Nasihat,nyam,la,ta,ti,ji,dai,ji,dai,24.0,"tudung, saji,, menyidai;, rajin, besar, cucu, Nenek, kita, pandai., mengkaji,, menganyam, menjadi, nanti, pula, sibuk, Kalau"
"Buah pelam si buah kundang, petang hari dipetik nyonya; Hari semalam tidak kau undang, mengapa niari baru bertanya.",Warga Emas Pertapis,Himpunan Pantun Warga Emas Pertapis,Undangan,Pertanyaan,lam,ri,lam,ri,dang,nya,dang,nya,25.0,"hari, baru, pelam, niari, kundang,, Buah, dipetik, si, petang, Hari, bertanya., tidak, buah, undang,, semalam, nyonya;, mengapa, kau"
"Makan sate, satenya kambing, di laman rumah ada kerengga; Pengantin berdua duduk bersanding, semoga bahagia berumah tangga.",Haji Sulaiman Ahmad,Himpunan Pantun Haji Sulaiman Ahmad,Bersanding,Ucapan,te,mah,a,gia,bing,ga,ding,ga,20.0,"rumah, Pengantin, Makan, satenya, berumah, semoga, sate,, kerengga;, berdua, laman, ada, kambing,, duduk, bahagia, tangga., di, bersanding,"
"Buah pauh mari dikerat, waktu petang boleh dimakan; Pada yang jauh pada yang erat, selamat datang kami ucapkan.",Hamba Allah,Himpunan PAntun Warga Emas Pertapis,Selamat Datang,Ucapan,uh,tang,uh,tang,rat,kan,rat,kan,25.0,"yang, ucapkan., dimakan;, Buah, jauh, selamat, petang, dikerat,, boleh, Pada, pada, datang, pauh, kami, erat,, mari, waktu"
"Ada ubi adalah ragi, kita bungkus berdaun pisang; Di tepi lobi  berbagi-bagi, sudahlah fokus kuat perangsang.",CG Karmin Abbas,Himpunan Pantun CG Karmin Abbas,Perangsang,Ucapan,bi,kus,bi,kus,gi,sang,gi,sang,25.0,"berbagi-bagi,, ragi,, pisang;, kuat, bungkus, tepi, kita, ubi, fokus, berdaun, Ada, lobi, adalah, sudahlah, perangsang., Di"
"Pasang anian kita tenunkan, jalurnya lima berdaya cipta; Satu impian kita aminkan, tidak lama menjadi nyata.",CG Karmin Abbas,Himpunan Pantun CG Karmin,Cita-cita,Nasihat,an,ma,pian,ma,kan,ta,kan,ta,25.0,"berdaya, Pasang, kita, impian, Satu, jalurnya, tenunkan,, lima, lama, menjadi, cipta;, tidak, anian, nyata., aminkan,"
"Burung perling hinggap di ambin, terbang dikejar masuk ke jebak; Layar keliling se Pulau Ubin  sambil belajar angin dan ombak.",CG Karmin Abbas,Himpunan Pantun CG Karmin Abbas,Belajar,Pengalaman,ling,jar,ling,jar,bin,bak,bin,bak,25.0,"terbang, Ubin, Burung, di, ke, Layar, Pulau, hinggap, masuk, ombak., se, ambin,, keliling, dikejar, angin, dan, sambil, perling, jebak;, belajar"
"Angin ribut tumbangkan pokok; dalam taman tepi sekolah; Kalau banyak menghisap rokok, lama-lama menghidap barah.",Haji Sulaiman Ahmad,Warga Emas Pertapis,Rokok,Nasihat,but,man,nyak,ma,kok,lah,kok,rah,23.0,"dalam, pokok;, Angin, menghisap, ribut, barah., menghidap, tumbangkan, taman, rokok,, sekolah;, banyak, lama-lama, tepi, Kalau"
"Bukan pena sebarang pena, pena sakti biru dan hitam; bukan mereka bena tak bena, kurang perhati sampai ditamtam.",CG Karmin Abbas,Himpunan Pantun Peperiksaan CG Karmin Abbas,Peperiksaan,Jenaka,na,ti,ka,ti,na,tam,na,tam,25.0,"biru, sampai, bena, ditamtam., pena,, tak, perhati, Bukan, hitam;, pena, bukan, mereka, sakti, kurang, dan, bena,, sebarang"
"Melumur bedak mata terjojol, mata terjojol tangan mengguit; Budak-budak takuti toyol, kerana toyol curi duit",Warga Emas Pertapis,Himpunan Pantun Warga Emas Pertapis,Toyol,Jenaka,dak,jol,dak,yol,jol,it,yol,it,23.0,"tangan, toyol,, mata, curi, takuti, toyol, kerana, Melumur, terjojol, bedak, Budak-budak, mengguit;, terjojol,, duit"
"Udang rebus dibuat keropok, mari digoreng di waktu pagi; Habis berdebus membeli rokok, kocek kering duit takda lagi.",Haji Sulaiman Bin Ahmad,Himpunan PAntun Haji Sulaiman Bin Ahmad,Rokok,Jenaka,bus,reng,bus,ring,pok,gi,kok,gi,24.0,"digoreng, keropok,, berdebus, duit, kering, lagi., di, dibuat, takda, rokok,, kocek, pagi;, rebus, Udang, mari, membeli, Habis, waktu"
"Hendak tuang hujan berhari,  Biar saya bertudung kain;  Hendak buang buang sendiri,  Biar saya mencari lain.",Warga Emas Pertapis,Himpunan Pantun Warga Emas Pertapis,Masa,Nasihat,ang,ya,ang,ya,ri,in,ri,in,25.0,"kain;, lain., bertudung, sendiri,, berhari,, saya, Biar, Hendak, hujan, buang, tuang, mencari"
"Orang hulu menenun kasa, tidak rata bersegi-segi; Kalau selalu bazir masa, kelak kita juga yang rugi.",Warga Emas Pertapis,Himpunan Pantun Warga Emas Pertapis,Masa,Nasihat,lu,ta,lu,ta,sa,gi,sa,gi,25.0,"yang, rata, hulu, rugi., bazir, masa,, kita, bersegi-segi;, kasa,, selalu, juga, tidak, kelak, menenun, Kalau, Orang"
"Di depan tempat duduk ustazah, kereta jingga jenama Kia; Sudah lah dapat  segulung ijazah, dapat juga gelaran cendekia",CG Karmin Abbas,Himpunan Pantun CG Karmin Abbas,Berjaya,Pujian,pat,ga,pat,ga,zah,a,zah,a,25.0,"Kia;, ijazah,, ustazah,, tempat, segulung, cendekia, jingga, depan, duduk, jenama, juga, lah, Sudah, gelaran, Di, dapat, kereta"
"Teduh perdu di tepi titi, burung balam terbang melayang; Berasyik rindu di dalam hati, siang ke malam terbayang-bayang.",CG Karmin Abbas,Balas Pantun FB,Rindu,Balas Pantun,du,lam,du,lam,ti,yang,ti,yang,25.0,"dalam, ke, terbang, malam, Teduh, titi,, melayang;, rindu, terbayang-bayang., Berasyik, hati,, siang, balam, di, tepi, perdu, burung"
"Bergesel-gesel berguling saja, payah lena menjadi amalan; Pen dan pensel teratur di meja, tapi ke mana hilang jawapan?;",CG Karmin Abbas,Himpunan Pantun Peperiksaan CG Karmin Abbas,Peperiksaan,Jenaka,sel,na,sel,na,ja,lan,ja,pan,24.0,"tapi, jawapan?;, payah, Bergesel-gesel, meja,, pensel, menjadi, amalan;, Pen, hilang, dan, berguling, lena, saja,, di, teratur, ke, mana"
"Mari kita pergi memancing, tengah panas hari Selasa; Jikalau hati tengah runsing, jangan lekas berputus asa.",Hj. Sulaiman Ahmad,Himpunan Pantun Hj. Sulaiman Ahmad,Runsing,Nasihat,ta,nas,ti,kas,cing,sa,sing,sa,23.0,"hari, berputus, runsing,, jangan, memancing,, asa., kita, pergi, Mari, hati, tengah, lekas, Jikalau, Selasa;, panas"
"Memakai songkok ke rumah datuk, melumur bedak sesuka hati; Hisap rokok terbatuk-batuk, tapi tidak mahu berhenti.",Warga Emas Pertapis,Himpunan Pantun Warga Emas Pertapis,Rokok,Jenaka,kok,dak,kok,dak,tuk,ti,tuk,ti,25.0,"rumah, tapi, Memakai, Hisap, melumur, sesuka, hati;, datuk,, berhenti., tidak, mahu, bedak, rokok, songkok, terbatuk-batuk,, ke"
"Ketika mandi memakai songkok, berlambat-lambat kerana lalai; curi-curi menghisap rokok, kena sebat berbilai-bilai.",Warga Emas Pertapis,Himpunan Pantun Warga Emas Pertapis,Rokok,Jenaka,di,bat,ri,bat,kok,lai,kok,lai,25.0,"curi-curi, memakai, menghisap, songkok,, kena, mandi, berbilai-bilai., rokok,, Ketika, kerana, lalai;, sebat, berlambat-lambat"
"Naik basikal pergi ke tanjung, bawak air di dalam baldi; Budi baik harus disanjung, kasih sayang kekal abadi.",Hj Sulaiman Ahmad,Himpunan Pantun Hj Sulaiman Ahmad,Budi,Nasihat,kal,ir,ik,yang,jung,di,jung,di,23.0,"kekal, baldi;, Naik, dalam, Budi, disanjung,, baik, sayang, basikal, bawak, pergi, harus, air, kasih, abadi., di, tanjung,, ke"
"Di bawah pokok memakan mihun, dilempar bata di atas bukit; hisap rokok bertahun-tahun, kelak kita alami sakit.",Warga Emas Pertapis,Himpunan Pantun Warga Emas Pertapis,Rokok,Nasihat,kok,ta,kok,ta,hun,kit,hun,kit,25.0,"atas, mihun,, memakan, dilempar, kita, bata, bertahun-tahun,, pokok, alami, bukit;, kelak, sakit., rokok, di, Di, hisap, bawah"
"Mandikan dilam alus-alusi, mulia ratna di atas luk-luk; Pabila alam mengaku saksi, antero buana raya takluk.",CG Karmin Abbas,Himpunan Pantun CG Karmin Abbas,Neo Santara,Ucapan,lam,na,lam,na,si,luk,si,luk,25.0,"atas, Pabila, takluk., di, alam, luk-luk;, alus-alusi,, antero, mengaku, saksi,, mulia, ratna, Mandikan, buana, dilam, raya"
"Tuah si Bahar di pekan Dalat, Dipinang Ayu, dara berjaya; Tun Juhar pemerintah berdaulat, Di bawah bayu, maju dan jaya.",Awang Abdul Muizz bin Awang Marusin,Himpunan Sepanggar Berpantun,"Apresiasi kepada Yang di-Pertua Negeri Sabah, Tun Juhar Mahiruddin",,har,yu,har,yu,lat,ya,lat,ya,25.0,"Tuah, si, di, dara, Ayu,, pemerintah, berjaya;, Dipinang, Juhar, berdaulat,, Bahar, dan, Tun, Di, bayu,, Dalat,, maju, pekan, jaya., bawah"
"Naiklah rakit mudik ke hulu, di sana tempat banyak kerengga; Jikalau adik pindah dahulu, nantikan saya di ambang syurga",Hj. Sulaiman Ahmad,Himpunan Pantun Hj. Sulaiman Ahmad,Syurga,Harapan,kit,pat,dik,ya,lu,ga,lu,ga,23.0,"mudik, adik, rakit, tempat, kerengga;, hulu,, dahulu,, sana, Naiklah, saya, ambang, banyak, nantikan, Jikalau, pindah, syurga, di, ke"
"Kalau mudik ikutlah arah, jangan telat sampai Jumaat; Jikalau adik cepat marah, lekas solat dua rakaat.",Warga Emas Pertapis,HimpunanWarga Emas Pertapis Pantun,Marah,Nasihat,dik,lat,dik,lat,rah,at,rah,at,25.0,"mudik, sampai, adik, jangan, dua, cepat, rakaat., ikutlah, marah,, arah,, Jumaat;, lekas, Jikalau, telat, Kalau, solat"
"Tetak badik dapatlah tombong, janur diraut jadi lidi; Janganlah adik bersikap sombong, pergi ke laut cari kedidi.",Warga Emas Pertapis,Himpunan Pantun Warga Emas Pertapis,Pengalaman,Nasihat,dik,ut,dik,ut,bong,di,bong,di,25.0,"adik, cari, lidi;, diraut, janur, pergi, jadi, Tetak, dapatlah, bersikap, kedidi., sombong,, laut, badik, tombong,, ke, Janganlah"
"Semut merah dipanggil ratu, Ratu duduk di rumah besar; Memang teknologi amatlah membantu  Asalkan tak musnahkan alam sekitar",Damia Batrisyia smktsi/tampin,Penggemar Pantun,"Sayangi Bumi, Menginsani Teknologi",Jagalah alam sekitar,rah,duk,gi,kan,tu,sar,tu,tar,21.0,"rumah, Ratu, musnahkan, dipanggil, teknologi, merah, Asalkan, alam, Semut, duduk, ratu,, sekitar, Memang, besar;, amatlah, di, membantu, tak"
"Petang hari berkunang-kunang, ia terbang sangatlah laju; Sudah berhari saya berenang, belum terpandang pantai dituju.",Hj. Sulaiman Ahmad,Himpunan Pantun Hj. Sulaiman Ahmad,Rindu,Luah rasa,ri,bang,ri,dang,nang,ju,nang,ju,25.0,"hari, belum, laju;, terbang, sangatlah, berkunang-kunang,, terpandang, dituju., ia, berhari, Petang, saya, Sudah, pantai, berenang,"
"Sawah nan indah cantik dipandang, nampaknya rata dari muara; Lihat juadah sudah terhidang, marilah kita jamu selera.",Warga Emas Pertapis,Himpunan Pantun Warga Emas Pertapis,Majlis Meminang,Ucapan,dah,ta,dah,ta,dang,ra,dang,ra,25.0,"dari, nan, cantik, muara;, dipandang,, nampaknya, rata, sudah, marilah, kita, juadah, terhidang,, indah, jamu, selera., Sawah, Lihat"
"Pergi Perlis memandu kereta, memandu kereta dengan cermat; Hujung majlis berdoalah kita, supaya kita mendapat rahmat.",Warga Emas Pertapis,HipunaWarga Emas Pertapisn Pantu,Majlis Meminang,Ucapan,lis,ta,lis,ta,ta,mat,ta,mat,25.0,"supaya, dengan, cermat;, kita, berdoalah, Hujung, majlis, Pergi, mendapat, rahmat., kita,, memandu, kereta,, Perlis, kereta"
"Pohon kelapa indah di mata, bendang padi udaranya nyaman; Ibu bapa mendidik kita, hingga jadi orang budiman.",Warga Emas Pertapis,Himpunan Pantun Warga Emas Pertapis,Ibu Bapa,Kenangan,pa,di,pa,di,ta,man,ta,man,,"bendang, orang, Pohon, Ibu, mata,, padi, udaranya, hingga, jadi, indah, mendidik, nyaman;, kita,, kelapa, bapa, di, budiman."
"Pepat ilalang pohon berdiri, batangan papan jemur serkah, Selamat ulang tahun diberi, dengan harapan umur berkah.",Agusnadi Talah,Penggemar Pantun,Ulang tahun,Doa,lang,pan,lang,pan,ri,kah,ri,kah,23.0,"Selamat, umur, ilalang, harapan, berdiri,, serkah,, ulang, dengan, berkah., batangan, jemur, pohon, tahun, diberi,, papan, Pepat"
Kiri jalan kanan pun jalan Ditengah tengah pohon kenari Kirim jangan pesan jangan Kalau lah rindu datang sendiri,Mhd Chair bas budianto,"Program Balai Pantun & Klinik Pantun, Mac 2021",Percintaan,Percintaan,lan,ngah,ngan,du,lan,ri,ngan,ri,16.0,"jangan, Ditengah, kanan, pesan, Kalau, rindu, datang, pohon, sendiri, tengah, Kiri, Kirim, jalan, lah, kenari, pun"
Hendak ditanam pohon selasih Ditanam dalam taman suaka  Hendak menanam hati kekasih Ditanam dalam taman pusara,Mhd Chair bas budianto,"Program Balai Pantun & Klinik Pantun, Mac 2021",Percintaan,Percintaan,nam,lam,nam,lam,sih,ka,sih,ra,22.0,"dalam, menanam, pusara, hati, ditanam, pohon, taman, kekasih, Ditanam, Hendak, suaka, selasih"
Pucuk pisang sibunga ramai Harum semerbak disenja hari Hati ku bimbang kasih tak sampai Tinggal daku seorang diri,Mhd Chair bas budianto,"Program Balai Pantun & Klinik Pantun, Mac 2021",Percintaan,Percintaan,sang,bak,bang,ku,mai,ri,pai,ri,19.0,"hari, semerbak, daku, sampai, ku, seorang, Pucuk, Tinggal, ramai, Hati, diri, sibunga, bimbang, kasih, disenja, Harum, pisang, tak"
Sungguh hitam burung merpati Hitam juga sigula jawa Walau hitam menarik hati Walau hitam manis tertawa,Mhd Chair bas budianto,"Program Balai Pantun & Klinik Pantun, Mac 2021",Percintaan,Percintaan,tam,ga,tam,tam,ti,wa,ti,wa,24.0,"manis, Sungguh, hitam, merpati, hati, Hitam, menarik, juga, Walau, tertawa, jawa, burung, sigula"
Kalau menebang sipohon jati Papan dijawa saya dirikan Kalau mengenang kekasih hati Harta dan benda saya berikan,Mhd Chair bas budianto,"Program Balai Pantun & Klinik Pantun, Mac 2021",Percintaan,Percintaan,bang,wa,nang,da,ti,kan,ti,kan,23.0,"dijawa, benda, berikan, Harta, hati, saya, jati, mengenang, kekasih, dan, sipohon, dirikan, menebang, Papan, Kalau"
Jikalau Tuan kepada Bugis  Tuanlah kepada Melayu Jikalau Tuan selalu menangis Mari tuan dinda merayu,Mhd Chair bas budianto,"Program Balai Pantun & Klinik Pantun, Mac 2021",Percintaan,Percintaan,an,da,an,an,gis,yu,ngis,yu,17.0,"tuan, Bugis, merayu, Tuanlah, Mari, dinda, kepada, menangis, selalu, Tuan, Jikalau, Melayu"
"Hendak pinang, pinanglah saja , mana pula tepak sirihnya;  Hendak tunang tunanglah saja , bila pula majlis kawinnya.",Mhd Chair bas budianto,"Program Balai Pantun & Klinik Pantun, Mac 2021",Percintaan,Percintaan,nang,la,nang,la,ja,nya,ja,nya,25.0,"saja, ,, pinanglah, tunanglah, kawinnya., pinang,, tepak, tunang, sirihnya;, majlis, Hendak, bila, pula, mana"
"Mampu kanda emas perunggu,  dalam tautan sikajang kain; Berhiba kanda lama menunggu,  sebab kaitan orang yang lain.",Mhd Chair bas budianto (diedit),"Program Balai Pantun & Klinik Pantun, Mac 2021",Percintaan,Percintaan,da,tan,da,tan,gu,in,gu,in,25.0,"kain;, tautan, dalam, yang, sikajang, sebab, kanda, emas, perunggu,, Mampu, kaitan, lama, orang, Berhiba, lain., menunggu,"
"para teruna kurus rupanya, kalam sebentar terpanah jejaka, flora dan fauna harus dijaga, alam sekitar khazanah negara",nurzulaikha binti azman SMKA SHAMS,Penggemar Pantun,"Sayangi Bumi, Menginsani Teknologi",jagalah alam sekitar,na,tar,na,tar,nya,ka,ga,ra,19.0,"kurus, sebentar, negara, rupanya,, terpanah, para, jejaka,, dijaga,, alam, harus, sekitar, fauna, dan, flora, kalam, khazanah, teruna"
"Terang malam bintang kejora, Cahaya bersemi bulan berteman, Indahnya alam bersama pelihara, Hargai bumi khazanah berzaman.",HANAN NISA'_SMK TUNKU BESAR TAMPIN_TAMPIN,Penggemar Pantun,"Sayangi Bumi, Menginsani Teknologi",Jagalah Bumi Kita/Jagalah Alam Sekitar,lam,mi,lam,mi,ra,man,ra,man,23.0,"Indahnya, bumi, bersemi, berzaman., bulan, malam, alam, pelihara,, Cahaya, bersama, berteman,, Terang, kejora,, Hargai, bintang, khazanah"
"Tumpahnya darah wira bangsa , Demi memperoleh kemerdekaan , Persekitaran dijaga hidup sentosa . Agar hidup lebih aman .",JAHIZAHNJELEBU,Penggemar Pantun,"Sayangi Bumi, Menginsani Teknologi","jagalah bumi, jagalah alam sekitar",rah,leh,ran,dup,sa,an,sa,man,16.0,"hidup, ,, kemerdekaan, ., Agar, lebih, memperoleh, darah, wira, Persekitaran, sentosa, Demi, Tumpahnya, aman, dijaga, bangsa"
"Kolam sangkar tepi terusan, Tumbuh melata padi huma, Alam sekitar pemberian tuhan, Ayuh kita hargai bersama",NUR AFIQAH DAMIA BINTI MOHD AIZIL (JELEBU),Penggemar Pantun,"Sayangi Bumi, Menginsani Teknologi",JAGALAH ALAM SAKITAR,kar,ta,tar,ta,san,ma,han,ma,21.0,"huma,, sangkar, tuhan,, kita, padi, Tumbuh, Alam, terusan,, Kolam, sekitar, bersama, melata, Ayuh, pemberian, tepi, hargai"
Waktu malam duduk bersendiri Duduk ditepi batu pahat Jagalah alam seperti diri Agar bumi kekal sihat,Ahmad Khairin Zafran bin Mohamed Nizam SMKA SHAMS SEREMBAN 1,Penggemar Pantun,"Sayangi Bumi, Menginsani Teknologi",Jagalah bumi kita Jagalah alam sekitar,lam,pi,lam,mi,ri,hat,ri,hat,19.0,"kekal, pahat, Jagalah, Waktu, alam, malam, bersendiri, Agar, seperti, duduk, ditepi, sihat, batu, diri, bumi, Duduk"
"Pergi ke kedai membeli mangga, Mangga dibeli enak sekali, Alam sekitar mesti dijaga, Agar bumi sentiasa harmoni",Muhammad Nazmi Syazani bin Mohd Nashar,Penggemar Pantun,"Sayangi Bumi, Menginsani Teknologi","Jagalah Bumi Kita,Jagalah Alam Sekitar",dai,li,tar,mi,ga,li,ga,ni,20.0,"dibeli, sentiasa, sekali,, dijaga,, Agar, mangga,, enak, Mangga, harmoni, kedai, Alam, sekitar, mesti, bumi, membeli, ke, Pergi"
"Sungguh indah bunga kemboja,  Di bawah atap tepi halaman;  Juadah sudah letak di meja,  Sudilah santap tuan budiman.",Pantun Jemput Makan,Pantun Jemput Makan,Jemput Makan,Jemput,dah,tap,dah,tap,ja,man,ja,man,24.0,"tuan, Sungguh, budiman., halaman;, sudah, santap, tepi, Sudilah, meja,, atap, letak, indah, bunga, Juadah, di, Di, bawah, kemboja,"
"Kalau tuan pikat cemara,  Buatlah bara bakar selasih;  Sudilah tuan jamu selera,  Hidangan mesra pengikat kasih.",Pantun Jemput Makan,Pantun Jemput Makan,Jemput Makan,Jemput,an,ra,an,ra,ra,sih,ra,sih,24.0,"tuan, kasih., mesra, Sudilah, selasih;, Buatlah, Hidangan, bara, pikat, jamu, cemara,, pengikat, bakar, selera,, Kalau"
"Terbang sekawan si burung merbuk,  Batang selasih di Tanjung Dara;  Padamu tuan kami persembah,  Santapan kasih juadah mesra.",Pantun Jemput Makan,Pantun Jemput Makan,Jemput Makan,Jemput,wan,sih,an,sih,buk,ra,bah,ra,22.0,"tuan, Terbang, merbuk,, Dara;, Batang, si, Tanjung, juadah, persembah,, kami, sekawan, Santapan, kasih, di, mesra., selasih, burung, Padamu"
"Lebat rumbia di Sungai Kedah,  Sayang senduduk di tepi muara;  Penganan mulia terletak sudah,  Samalah duduk menjamu selera.",Pantun Jemput Makan,Pantun Jemput Makan,Jemput Makan,Jemput,a,duk,a,duk,dah,ra,dah,ra,24.0,"muara;, Samalah, Penganan, Kedah,, Lebat, menjamu, Sungai, rumbia, duduk, Sayang, senduduk, mulia, selera., di, tepi, sudah,, terletak"
"Bukan rumput sebarang rumpun,  Rumput penghias tepi halaman;  Bukan jemput sebarang jemput,  Jemput memohon kata aluan.",Pantun Ucapan Alu-Aluan,Pantun Ucapan Alu-Aluan,Ucapan Alu-Aluan,Ucapan,put,as,put,hon,pun,man,put,an,18.0,"Jemput, memohon, aluan., halaman;, penghias, jemput,, Bukan, rumpun,, rumput, jemput, kata, tepi, sebarang, Rumput"
"Duduk sekawan gadis jelita,  Buat santapan untuk pahlawan;  Tampillah tuan kami meminta,  Madah ucapan kata aluan.",Pantun Ucapan Alu-Aluan,Pantun Ucapan Alu-Aluan,Ucapan Alu-Aluan,Ucapan,wan,pan,an,pan,ta,wan,ta,an,23.0,"gadis, tuan, Buat, Madah, aluan., jelita,, meminta,, Tampillah, santapan, untuk, sekawan, kami, ucapan, kata, Duduk, pahlawan;"
"Sudilah tuan jalan berlapan,  Jalan berlapan di malam kelam;  Sudilah tuan beri ucapan,  Kata aluan pemanis kalam.",Pantun Ucapan Alu-Aluan,Pantun Ucapan Alu-Aluan,Ucapan Alu-Aluan,Ucapan,an,pan,an,an,pan,lam,pan,lam,25.0,"aluan, tuan, kalam., berlapan,, berlapan, malam, ucapan,, Sudilah, beri, Jalan, jalan, pemanis, di, kelam;, Kata"
"Emas tempawan buatmu puteri,  Busana indah buat rupawan;  Sudilah tuan tampilkan diri,  Bersama madah kata aluan.",Pantun Ucapan Alu-Aluan,Pantun Ucapan Alu-Aluan,Ucapan Alu-Aluan,Ucapan,wan,dah,an,dah,ri,wan,ri,an,21.0,"tuan, tempawan, aluan., Bersama, Busana, buatmu, rupawan;, tampilkan, Sudilah, puteri,, indah, Emas, diri,, kata, buat, madah"
"Jangan tertawan alpa duniawi,  Hanya indah serupa mimpi;  Duhai pahlawan ksatria pertiwi,  Hulurkan madah kata perasmi.",Pantun Ucapan Perasmian,Ucapan Perasmian,Ucapan Perasmian,Ucapan,wan,dah,wan,dah,wi,pi,wi,mi,21.0,"alpa, ksatria, serupa, Duhai, duniawi,, Hanya, indah, mimpi;, pahlawan, Hulurkan, kata, Jangan, perasmi., pertiwi,, tertawan, madah"
"Besar langit di tepi busut,  Besar tak muat di dalam peti;  Besar hajat kami menjemput,  Besar niat di dalam hati.",Pantun Jemputan Ucapan,Pantun Jemputan Ucapan,Jemputan Ucapan,Ucapan,ngit,at,jat,at,sut,ti,put,ti,21.0,"dalam, menjemput,, busut,, muat, peti;, hajat, hati., Besar, langit, kami, niat, di, tepi, tak"
"Pergi ke kota beli selasih,  Sayang si dara buat halwa;  Berilah kata simpulan kasih,  Sulamkan mesra satukan jiwa.",Pantun Jemputan Ucapan,Pantun Jemputan Ucapan,Jemputan Ucapan,Ucapan,ta,ra,ta,ra,sih,wa,sih,wa,24.0,"ke, Sulamkan, satukan, simpulan, si, kasih,, dara, mesra, selasih,, Sayang, Berilah, halwa;, Pergi, kata, jiwa., kota, beli, buat"
"Terbang di awan burung jentayu,  Kerana penat gugur ke bumi;  Tampillah tuan kami merayu,  Bersama amanat bekalan kami.",Pantun Jemputan Ucapan,Pantun Jemputan Ucapan,Jemputan Ucapan,Ucapan,wan,nat,an,nat,yu,mi,yu,mi,23.0,"tuan, amanat, Terbang, bekalan, jentayu,, awan, merayu,, Bersama, Kerana, Tampillah, kami, gugur, penat, kami., di, burung, ke, bumi;"
"Duduk sekawan si burung unta,  Tepi keramat di waktu malam;  Pada mu tuan kami meminta,  Kata azimat penutup kalam.",Pantun Jemputan Ucapan,Pantun Jemputan Ucapan,Jemputan Ucapan,Ucapan,wan,mat,an,mat,ta,lam,ta,lam,24.0,"si, Pada, di, Kata, penutup, sekawan, burung, kalam., malam;, Tepi, azimat, Duduk, waktu, tuan, keramat, meminta,, unta,, mu, kami"
"Terbang di awan burung jentayu,  Di atas papan batang selisih;  Tampillah tuan kami merayu,  Bersama ucapan pengikat kasih.",Pantun Jemputan Ucapan,Pantun Jemputan Ucapan,Jemputan Ucapan,Ucapan,wan,pan,an,pan,yu,sih,yu,sih,23.0,"atas, tuan, Terbang, ucapan, kasih., jentayu,, awan, batang, merayu,, Bersama, pengikat, Tampillah, kami, Di, di, burung, papan, selisih;"
"Kalau tuan pikat kenari,  Jangan patahkan batang jerami;  Kepada tuan sembah diberi,  Mohon rasmikan majlis kami.",Pantun Ucapan Perasmian,Ucapan Perasmian,Ucapan Perasmian,Ucapan,an,kan,an,kan,ri,mi,ri,mi,23.0,"tuan, kenari,, patahkan, sembah, jerami;, batang, Mohon, Kepada, pikat, majlis, Jangan, rasmikan, diberi,, Kalau, kami."
"Daun semulur di pekan sari,  Batang jerami rebah ke bumi;  Madah dihulur sembah diberi,  Kata perasmi hajatnya kami.",Pantun Ucapan Perasmian,Ucapan Perasmian,Ucapan Perasmian,Ucapan,lur,mi,lur,mi,ri,mi,ri,mi,25.0,"sari,, perasmi, Madah, Kata, Batang, pekan, jerami, semulur, rebah, hajatnya, dihulur, kami., Daun, di, diberi,, ke, sembah, bumi;"
"Terbang di awan burung jentayu,  Di atas papan batang jerami;  Tampillah tuan kami merayu,  Bersama ucapan kata perasmi.",Pantun Ucapan Perasmian,Ucapan Perasmian,Ucapan Perasmian,Ucapan,wan,pan,an,pan,yu,mi,yu,mi,23.0,"atas, tuan, Terbang, ucapan, jentayu,, awan, batang, jerami;, merayu,, Bersama, Tampillah, kami, kata, perasmi., Di, di, burung, papan"
